Schema item,Kind,Data type,Extends,Restricts,Abstract,Subst Group,Comment,Namespace
InsertingIntent_InsertList_lr,global complexType,,jdf:BaseElement_,,,,"",JDFResource.xsd
InsertingIntent_r,global complexType,,jdf:IntentResource,,,,"",JDFResource.xsd
InsertingIntent_rp,global complexType,,jdf:IntentResourceLeaf,,,,"",JDFResource.xsd
InsertingIntentAttribs_c,global attributeGroup,,,,,,"",JDFResource.xsd
InsertingIntentAttribs_r,global attributeGroup,,,,,,"",JDFResource.xsd
InsertingIntentAttribs_u,global attributeGroup,,,,,,"",JDFResource.xsd
InsertingIntentLink,global element,jdf:IntentLink,,,,jdf:ResourceLink,"",JDFResource.xsd
InsertingParams,global element,jdf:InsertingParams_r,,,,jdf:Resource,"",JDFResource.xsd
InsertingParams_r,global complexType,,jdf:ParameterResource,,,,"",JDFResource.xsd
InsertingParams_re,global complexType,,jdf:ParameterResourceElement,,,,"",JDFResource.xsd
InsertingParams_rp,global complexType,,jdf:ParameterResourceLeaf,,,,"",JDFResource.xsd
InsertingParamsAttribs_c,global attributeGroup,,,,,,"",JDFResource.xsd
InsertingParamsAttribs_r,global attributeGroup,,,,,,"",JDFResource.xsd
InsertingParamsAttribs_u,global attributeGroup,,,,,,"",JDFResource.xsd
InsertingParamsLink,global element,jdf:ParameterLink,,,,jdf:ResourceLink,"",JDFResource.xsd
InsertingResLinkPool_,global complexType,,jdf:ResourceLinkPool_,,,,"",JDFProcess.xsd
InsertSheet,global element,jdf:InsertSheet_r,,,,jdf:Resource,"",JDFResource.xsd
InsertSheet_r,global complexType,,jdf:ParameterResource,,,,"",JDFResource.xsd
InsertSheet_re,global complexType,,jdf:ParameterResourceElement,,,,"",JDFResource.xsd
InsertSheet_rp,global complexType,,jdf:ParameterResourceLeaf,,,,"",JDFResource.xsd
InsertSheetAttribs_c,global attributeGroup,,,,,,"",JDFResource.xsd
InsertSheetAttribs_r,global attributeGroup,,,,,,"",JDFResource.xsd
InsertSheetAttribs_u,global attributeGroup,,,,,,"",JDFResource.xsd
InsertSheetLink,global element,jdf:ParameterLink,,,,jdf:ResourceLink,"",JDFResource.xsd
Integer,global simpleType,,,,,,"",JDFTypes.xsd
Integer0To100,global simpleType,xs:integer,,,,,"",JDFTypes.xsd
IntegerAndSeparator_,global simpleType,,,,,,"",JDFTypes.xsd
IntegerAndSeparators_,global simpleType,,,,,,"",JDFTypes.xsd
IntegerEvaluation,global complexType,,jdf:AbstractEvaluation,,,,"",JDFCapability.xsd
IntegerEvaluation,global element,jdf:IntegerEvaluation,,,,jdf:AbstractTerms,"",JDFCapability.xsd
IntegerList,global simpleType,,,,,,"",JDFTypes.xsd
IntegerRange,global simpleType,jdftyp:IntegerAndSeparators_,,,,,"",JDFTypes.xsd
IntegerRangeList,global simpleType,jdftyp:IntegerAndSeparators_,,,,,"",JDFTypes.xsd
IntegerSpan,global complexType,,jdf:AbstractSpan,,,,"",JDFCore.xsd
IntegerState,global complexType,,jdf:DevCapState,,,,"",JDFCapability.xsd
IntegerState,global element,jdf:IntegerState,,,,jdf:AbstractStates,"",JDFCapability.xsd
IntentAttribs,global attributeGroup,,,,,,"",JDFCore.xsd
IntentLink,global complexType,,jdf:ResourceLink,,,,"",JDFCore.xsd
IntentResource,global complexType,,jdf:Resources,,,,"",JDFCore.xsd
IntentResourceLeaf,global complexType,,jdf:ResourcesLeaf,,,,"",JDFCore.xsd
InterpretedPDLData,global element,jdf:InterpretedPDLData_r,,,,jdf:Resource,"",JDFResource.xsd
InterpretedPDLData_r,global complexType,,jdf:ParameterResource,,,,"",JDFResource.xsd
InterpretedPDLData_re,global complexType,,jdf:ParameterResourceElement,,,,"",JDFResource.xsd
InterpretedPDLData_rp,global complexType,,jdf:ParameterResourceLeaf,,,,"",JDFResource.xsd
InterpretedPDLDataAttribs_c,global attributeGroup,,,,,,"",JDFResource.xsd
InterpretedPDLDataAttribs_r,global attributeGroup,,,,,,"",JDFResource.xsd
InterpretedPDLDataAttribs_u,global attributeGroup,,,,,,"",JDFResource.xsd
InterpretedPDLDataLink,global element,jdf:ParameterLink,,,,jdf:ResourceLink,"",JDFResource.xsd
Interpreting,global complexType,,jdf:JDFAbstractNode,,,,"",JDFProcess.xsd
InterpretingParams,global element,jdf:InterpretingParams_r,,,,jdf:Resource,"",JDFResource.xsd
InterpretingParams_PDFInterpretingParams_lr,global complexType,,jdf:BaseElement_,,,,"",JDFResource.xsd
InterpretingParams_r,global complexType,,jdf:ParameterResource,,,,"",JDFResource.xsd
InterpretingParams_re,global complexType,,jdf:ParameterResourceElement,,,,"",JDFResource.xsd
InterpretingParams_rp,global complexType,,jdf:ParameterResourceLeaf,,,,"",JDFResource.xsd
InterpretingParamsAttribs_c,global attributeGroup,,,,,,"",JDFResource.xsd
InterpretingParamsAttribs_r,global attributeGroup,,,,,,"",JDFResource.xsd
InterpretingParamsAttribs_u,global attributeGroup,,,,,,"",JDFResource.xsd
InterpretingParamsLink,global element,jdf:ParameterLink,,,,jdf:ResourceLink,"",JDFResource.xsd
InterpretingResLinkPool_,global complexType,,jdf:ResourceLinkPool_,,,,"",JDFProcess.xsd
IsPresentEvaluation,global complexType,,jdf:AbstractEvaluation,,,,"",JDFCapability.xsd
IsPresentEvaluation,global element,jdf:IsPresentEvaluation,,,,jdf:AbstractTerms,"",JDFCapability.xsd
Jacketing,global complexType,,jdf:JDFAbstractNode,,,,"",JDFProcess.xsd
JacketingParams,global element,jdf:JacketingParams_r,,,,jdf:Resource,"",JDFResource.xsd
JacketingParams_r,global complexType,,jdf:ParameterResource,,,,"",JDFResource.xsd
JacketingParams_re,global complexType,,jdf:ParameterResourceElement,,,,"",JDFResource.xsd
JacketingParams_rp,global complexType,,jdf:ParameterResourceLeaf,,,,"",JDFResource.xsd
JacketingParamsAttribs_c,global attributeGroup,,,,,,"",JDFResource.xsd
JacketingParamsAttribs_r,global attributeGroup,,,,,,"",JDFResource.xsd
JacketingParamsAttribs_u,global attributeGroup,,,,,,"",JDFResource.xsd
JacketingParamsLink,global element,jdf:ParameterLink,,,,jdf:ResourceLink,"",JDFResource.xsd
JacketingResLinkPool_,global complexType,,jdf:ResourceLinkPool_,,,,"",JDFProcess.xsd
JDF,global element,jdf:JDFProcessNode,,,,,"",JDF.xsd
JDFAbstractNode,global complexType,,,jdf:JDFProcessNode,,,"",JDFCore.xsd
JDFChildElements_,global group,,,,,,"",JDFCore.xsd
JDFController,global element,jdf:JDFController_m,,,,jdf:ResponseTypeObj,"",JDFMessage.xsd
JDFController_m,global complexType,,jdf:ResponseTypeObj_,,,,"",JDFMessage.xsd
JDFJMFVersion,global simpleType,jdftyp:string,,,,,"",JDFTypes.xsd
JDFJMFVersions,global simpleType,,,,,,"",JDFTypes.xsd
JDFProcessNode,global complexType,,jdf:BaseElement_,,,,"",JDFCore.xsd
JDFService,global element,jdf:JDFService_m,,,,jdf:ResponseTypeObj,"",JDFMessage.xsd
JDFService_m,global complexType,,jdf:ResponseTypeObj_,,,,"",JDFMessage.xsd
JMF,global element,jdf:JMFRootMessage,,,,,"",JDF.xsd
JMFAbstractAcknowledge_,global complexType,,,jdf:Acknowledge,,,"",JDFCore.xsd
JMFAbstractCommand_,global complexType,,,jdf:Command,,,"",JDFCore.xsd
JMFAbstractQuery_,global complexType,,,jdf:Query,,,"",JDFCore.xsd
JMFAbstractResponse_,global complexType,,,jdf:Response,,,"",JDFCore.xsd
JMFAbstractSignal_,global complexType,,,jdf:Signal,,,"",JDFCore.xsd
JMFRootMessage,global complexType,,jdf:BaseElement_,,,,"",JDFCore.xsd
JobField,global element,jdf:JobField_r,,,,jdf:Resource,"",JDFResource.xsd
JobField_r,global complexType,,jdf:ParameterResource,,,,"",JDFResource.xsd
JobField_re,global complexType,,jdf:ParameterResourceElement,,,,"",JDFResource.xsd
JobField_rp,global complexType,,jdf:ParameterResourceLeaf,,,,"",JDFResource.xsd
JobFieldAttribs_c,global attributeGroup,,,,,,"",JDFResource.xsd
JobFieldAttribs_r,global attributeGroup,,,,,,"",JDFResource.xsd
JobFieldAttribs_u,global attributeGroup,,,,,,"",JDFResource.xsd
JobFieldLink,global element,jdf:ParameterLink,,,,jdf:ResourceLink,"",JDFResource.xsd
JobPhase,global element,jdf:JobPhase_m,,,,jdf:ResponseTypeObj,"",JDFMessage.xsd
JobPhase_m,global complexType,,jdf:ResponseTypeObj_,,,,"",JDFMessage.xsd
KnownMsgQuParams,global element,jdf:KnownMsgQuParams_m,,,,jdf:QueryTypeObj,"",JDFMessage.xsd
KnownMsgQuParams_m,global complexType,,jdf:QueryTypeObj_,,,,"",JDFMessage.xsd
LabColor,global simpleType,jdftyp:DoubleList,,,,,"",JDFTypes.xsd
Labeling,global complexType,,jdf:JDFAbstractNode,,,,"",JDFProcess.xsd
LabelingParams,global element,jdf:LabelingParams_r,,,,jdf:Resource,"",JDFResource.xsd
LabelingParams_r,global complexType,,jdf:ParameterResource,,,,"",JDFResource.xsd
LabelingParams_re,global complexType,,jdf:ParameterResourceElement,,,,"",JDFResource.xsd
LabelingParams_rp,global complexType,,jdf:ParameterResourceLeaf,,,,"",JDFResource.xsd
LabelingParamsAttribs_c,global attributeGroup,,,,,,"",JDFResource.xsd
LabelingParamsAttribs_r,global attributeGroup,,,,,,"",JDFResource.xsd
LabelingParamsAttribs_u,global attributeGroup,,,,,,"",JDFResource.xsd
LabelingParamsLink,global element,jdf:ParameterLink,,,,jdf:ResourceLink,"",JDFResource.xsd
LabelingResLinkPool_,global complexType,,jdf:ResourceLinkPool_,,,,"",JDFProcess.xsd
Laminating,global complexType,,jdf:JDFAbstractNode,,,,"",JDFProcess.xsd
LaminatingIntent,global element,jdf:LaminatingIntent_r,,,,jdf:Resource,"",JDFResource.xsd
LaminatingIntent_r,global complexType,,jdf:IntentResource,,,,"",JDFResource.xsd
LaminatingIntent_rp,global complexType,,jdf:IntentResourceLeaf,,,,"",JDFResource.xsd
LaminatingIntentAttribs_c,global attributeGroup,,,,,,"",JDFResource.xsd
LaminatingIntentAttribs_r,global attributeGroup,,,,,,"",JDFResource.xsd
LaminatingIntentAttribs_u,global attributeGroup,,,,,,"",JDFResource.xsd
LaminatingIntentLink,global element,jdf:IntentLink,,,,jdf:ResourceLink,"",JDFResource.xsd
LaminatingParams,global element,jdf:LaminatingParams_r,,,,jdf:Resource,"",JDFResource.xsd
LaminatingParams_r,global complexType,,jdf:ParameterResource,,,,"",JDFResource.xsd
LaminatingParams_re,global complexType,,jdf:ParameterResourceElement,,,,"",JDFResource.xsd
LaminatingParams_rp,global complexType,,jdf:ParameterResourceLeaf,,,,"",JDFResource.xsd
LaminatingParamsAttribs_c,global attributeGroup,,,,,,"",JDFResource.xsd
LaminatingParamsAttribs_r,global attributeGroup,,,,,,"",JDFResource.xsd
LaminatingParamsAttribs_u,global attributeGroup,,,,,,"",JDFResource.xsd
LaminatingParamsLink,global element,jdf:ParameterLink,,,,jdf:ResourceLink,"",JDFResource.xsd
LaminatingResLinkPool_,global complexType,,jdf:ResourceLinkPool_,,,,"",JDFProcess.xsd
language,global simpleType,xs:language,,,,,"",JDFTypes.xsd
languages,global simpleType,,,,,,"",JDFTypes.xsd
LanguagesOrAll,global simpleType,,,,,,"",JDFTypes.xsd
Layout,global element,jdf:Layout_r,,,,jdf:Resource,"",JDFResource.xsd
Layout_LayerDetails_lr,global complexType,,jdf:BaseElement_,,,,"",JDFResource.xsd
Layout_LayerList_lr,global complexType,,jdf:BaseElement_,,,,"",JDFResource.xsd
Layout_r,global complexType,,jdf:ParameterResource,,,,"",JDFResource.xsd
Layout_re,global complexType,,jdf:ParameterResourceElement,,,,"",JDFResource.xsd
Layout_rp,global complexType,,jdf:ParameterResourceLeaf,,,,"",JDFResource.xsd
Layout_Signature_lr,global complexType,,jdf:BaseElement_,,,,"",JDFResource.xsd
LayoutAttribs_c,global attributeGroup,,,,,,"",JDFResource.xsd
LayoutAttribs_r,global attributeGroup,,,,,,"",JDFResource.xsd
LayoutAttribs_u,global attributeGroup,,,,,,"",JDFResource.xsd
LayoutElement,global element,jdf:LayoutElement_r,,,,jdf:Resource,"",JDFResource.xsd
LayoutElement_Dependencies_lr,global complexType,,jdf:BaseElement_,,,,"",JDFResource.xsd
LayoutElement_r,global complexType,,jdf:ParameterResource,,,,"",JDFResource.xsd
LayoutElement_re,global complexType,,jdf:ParameterResourceElement,,,,"",JDFResource.xsd
LayoutElement_rp,global complexType,,jdf:ParameterResourceLeaf,,,,"",JDFResource.xsd
LayoutElementAttribs_c,global attributeGroup,,,,,,"",JDFResource.xsd
LayoutElementAttribs_r,global attributeGroup,,,,,,"",JDFResource.xsd
LayoutElementAttribs_u,global attributeGroup,,,,,,"",JDFResource.xsd
LayoutElementLink,global element,jdf:ParameterLink,,,,jdf:ResourceLink,"",JDFResource.xsd
LayoutElementProduction,global complexType,,jdf:JDFAbstractNode,,,,"",JDFProcess.xsd
LayoutElementProductionResLinkPool_,global complexType,,jdf:ResourceLinkPool_,,,,"",JDFProcess.xsd
LayoutIntent,global element,jdf:LayoutIntent_r,,,,jdf:Resource,"",JDFResource.xsd
LayoutIntent_r,global complexType,,jdf:IntentResource,,,,"",JDFResource.xsd
LayoutIntent_rp,global complexType,,jdf:IntentResourceLeaf,,,,"",JDFResource.xsd
LayoutIntentAttribs_c,global attributeGroup,,,,,,"",JDFResource.xsd
LayoutIntentAttribs_r,global attributeGroup,,,,,,"",JDFResource.xsd
LayoutIntentAttribs_u,global attributeGroup,,,,,,"",JDFResource.xsd
LayoutIntentLink,global element,jdf:IntentLink,,,,jdf:ResourceLink,"",JDFResource.xsd
LayoutLink,global element,jdf:ParameterLink,,,,jdf:ResourceLink,"",JDFResource.xsd
LayoutPreparation,global complexType,,jdf:JDFAbstractNode,,,,"",JDFProcess.xsd
LayoutPreparationParams,global element,jdf:LayoutPreparationParams_r,,,,jdf:Resource,"",JDFResource.xsd
LayoutPreparationParams_ImageShift_lr,global complexType,,jdf:BaseElement_,,,,"",JDFResource.xsd
LayoutPreparationParams_PageCell_lr,global complexType,,jdf:BaseElement_,,,,"",JDFResource.xsd
LayoutPreparationParams_r,global complexType,,jdf:ParameterResource,,,,"",JDFResource.xsd
LayoutPreparationParams_re,global complexType,,jdf:ParameterResourceElement,,,,"",JDFResource.xsd
LayoutPreparationParams_rp,global complexType,,jdf:ParameterResourceLeaf,,,,"",JDFResource.xsd
LayoutPreparationParamsAttribs_c,global attributeGroup,,,,,,"",JDFResource.xsd
LayoutPreparationParamsAttribs_r,global attributeGroup,,,,,,"",JDFResource.xsd
LayoutPreparationParamsAttribs_u,global attributeGroup,,,,,,"",JDFResource.xsd
LayoutPreparationParamsLink,global element,jdf:ParameterLink,,,,jdf:ResourceLink,"",JDFResource.xsd
LayoutPreparationResLinkPool_,global complexType,,jdf:ResourceLinkPool_,,,,"",JDFProcess.xsd
Loc,global complexType,,jdf:BaseElement_,,,,"",JDFCapability.xsd
Location_re,global complexType,,jdf:ResourceElement,,,,"",JDFResource.xsd
LocationAttribs_c,global attributeGroup,,,,,,"",JDFResource.xsd
LocationAttribs_r,global attributeGroup,,,,,,"",JDFResource.xsd
LogicalProperties,global attributeGroup,,,,,,"",JDFResource.xsd
LongInteger,global simpleType,,,,,,"",JDFTypes.xsd
LongitudinalRibbonOperationParams,global element,jdf:LongitudinalRibbonOperationParams_r,,,,jdf:Resource,"",JDFResource.xsd
LongitudinalRibbonOperationParams_LongFold_lr,global complexType,,jdf:BaseElement_,,,,"",JDFResource.xsd
LongitudinalRibbonOperationParams_LongGlue_lr,global complexType,,jdf:BaseElement_,,,,"",JDFResource.xsd
LongitudinalRibbonOperationParams_LongPerforate_lr,global complexType,,jdf:BaseElement_,,,,"",JDFResource.xsd
LongitudinalRibbonOperationParams_LongSlit_lr,global complexType,,jdf:BaseElement_,,,,"",JDFResource.xsd
LongitudinalRibbonOperationParams_r,global complexType,,jdf:ParameterResource,,,,"",JDFResource.xsd
LongitudinalRibbonOperationParams_re,global complexType,,jdf:ParameterResourceElement,,,,"",JDFResource.xsd
LongitudinalRibbonOperationParams_rp,global complexType,,jdf:ParameterResourceLeaf,,,,"",JDFResource.xsd
LongitudinalRibbonOperationParamsAttribs_c,global attributeGroup,,,,,,"",JDFResource.xsd
LongitudinalRibbonOperationParamsAttribs_r,global attributeGroup,,,,,,"",JDFResource.xsd
LongitudinalRibbonOperationParamsAttribs_u,global attributeGroup,,,,,,"",JDFResource.xsd
LongitudinalRibbonOperationParamsLink,global element,jdf:ParameterLink,,,,jdf:ResourceLink,"",JDFResource.xsd
LongitudinalRibbonOperations,global complexType,,jdf:JDFAbstractNode,,,,"",JDFProcess.xsd
LongitudinalRibbonOperationsResLinkPool_,global complexType,,jdf:ResourceLinkPool_,,,,"",JDFProcess.xsd
macro,global complexType,,jdf:BaseElement_,,,,"",JDFCapability.xsd
MacroPool,global complexType,,jdf:BaseElement_,,,,"",JDFCapability.xsd
ManualLabor,global complexType,,jdf:JDFAbstractNode,,,,"",JDFProcess.xsd
ManualLaborParams,global element,jdf:ManualLaborParams_r,,,,jdf:Resource,"",JDFResource.xsd
ManualLaborParams_r,global complexType,,jdf:ParameterResource,,,,"",JDFResource.xsd
ManualLaborParams_re,global complexType,,jdf:ParameterResourceElement,,,,"",JDFResource.xsd
ManualLaborParams_rp,global complexType,,jdf:ParameterResourceLeaf,,,,"",JDFResource.xsd
ManualLaborParamsAttribs_c,global attributeGroup,,,,,,"",JDFResource.xsd
ManualLaborParamsAttribs_r,global attributeGroup,,,,,,"",JDFResource.xsd
ManualLaborParamsAttribs_u,global attributeGroup,,,,,,"",JDFResource.xsd
ManualLaborParamsLink,global element,jdf:ParameterLink,,,,jdf:ResourceLink,"",JDFResource.xsd
matrix,global simpleType,jdftyp:DoubleList,,,,,"",JDFTypes.xsd
MatrixEvaluation,global complexType,,jdf:AbstractEvaluation,,,,"",JDFCapability.xsd
MatrixEvaluation,global element,jdf:MatrixEvaluation,,,,jdf:AbstractTerms,"",JDFCapability.xsd
MatrixEvaluation_Value_lr,global complexType,,jdf:BaseElement_,,,,"",JDFCapability.xsd
MatrixShift_,global simpleType,jdftyp:DoubleList,,,,,"",JDFTypes.xsd
MatrixState,global complexType,,jdf:DevCapState,,,,"",JDFCapability.xsd
MatrixState,global element,jdf:MatrixState,,,,jdf:AbstractStates,"",JDFCapability.xsd
MatrixState_Value_lr,global complexType,,jdf:BaseElement_,,,,"",JDFCapability.xsd
Media,global element,jdf:Media_r,,,,jdf:Resource,"",JDFResource.xsd
Media_r,global complexType,,jdf:ConsumableResource,,,,"",JDFResource.xsd
Media_re,global complexType,,jdf:PhysicalResourceElement,,,,"",JDFResource.xsd
Media_rp,global complexType,,jdf:ConsumableResourceLeaf,,,,"",JDFResource.xsd
MediaAttribs_c,global attributeGroup,,,,,,"",JDFResource.xsd
MediaAttribs_r,global attributeGroup,,,,,,"",JDFResource.xsd
MediaAttribs_u,global attributeGroup,,,,,,"",JDFResource.xsd
MediaIntent,global element,jdf:MediaIntent_r,,,,jdf:Resource,"",JDFResource.xsd
MediaIntent_r,global complexType,,jdf:IntentResource,,,,"",JDFResource.xsd
MediaIntent_re,global complexType,,jdf:ResourceElement,,,,"",JDFResource.xsd
MediaIntent_rp,global complexType,,jdf:IntentResourceLeaf,,,,"",JDFResource.xsd
MediaIntentAttribs_c,global attributeGroup,,,,,,"",JDFResource.xsd
MediaIntentAttribs_r,global attributeGroup,,,,,,"",JDFResource.xsd
MediaIntentAttribs_u,global attributeGroup,,,,,,"",JDFResource.xsd
MediaIntentLink,global element,jdf:IntentLink,,,,jdf:ResourceLink,"",JDFResource.xsd
MediaLink,global element,jdf:ConsumableLink,,,,jdf:ResourceLink,"",JDFResource.xsd
MediaSource,global element,jdf:MediaSource_r,,,,jdf:Resource,"",JDFResource.xsd
MediaSource_r,global complexType,,jdf:ParameterResource,,,,"",JDFResource.xsd
MediaSource_re,global complexType,,jdf:ParameterResourceElement,,,,"",JDFResource.xsd
MediaSource_rp,global complexType,,jdf:ParameterResourceLeaf,,,,"",JDFResource.xsd
MediaSourceAttribs_c,global attributeGroup,,,,,,"",JDFResource.xsd
MediaSourceAttribs_r,global attributeGroup,,,,,,"",JDFResource.xsd
MediaSourceAttribs_u,global attributeGroup,,,,,,"",JDFResource.xsd
MediaSourceLink,global element,jdf:ParameterLink,,,,jdf:ResourceLink,"",JDFResource.xsd
MergedAudit,global complexType,,jdf:AuditElement,,,,"",JDFCore.xsd
Message,global complexType,,jdf:BaseElement_,,,,"Base class of JMF messages (abstract type).",JDFCore.xsd
MessageService,global element,jdf:MessageService_m,,,,jdf:ResponseTypeObj,"",JDFMessage.xsd
MessageService_m,global complexType,,jdf:ResponseTypeObj_,,,,"",JDFMessage.xsd
MISDetails_re,global complexType,,jdf:ResourceElement,,,,"",JDFResource.xsd
MISDetailsAttribs_c,global attributeGroup,,,,,,"",JDFResource.xsd
MISDetailsAttribs_r,global attributeGroup,,,,,,"",JDFResource.xsd
ModifiedAudit,global complexType,,jdf:AuditElement,,,,"",JDFCore.xsd
MsgFilter,global element,jdf:MsgFilter_m,,,,jdf:QueryTypeObj,"",JDFMessage.xsd
MsgFilter_m,global complexType,,jdf:QueryTypeObj_,,,,"",JDFMessage.xsd
name,global simpleType,jdftyp:NMTOKEN,,,,,"",JDFTypes.xsd
NameAndSeparator_,global simpleType,,,,,,"",JDFTypes.xsd
NameAndSeparators_,global simpleType,,,,,,"",JDFTypes.xsd
NamedColor,global simpleType,xs:string,,,,,"",JDFTypes.xsd
NameEvaluation,global complexType,,jdf:AbstractEvaluation,,,,"",JDFCapability.xsd
NameEvaluation,global element,jdf:NameEvaluation,,,,jdf:AbstractTerms,"",JDFCapability.xsd
NameRange,global simpleType,jdftyp:NameAndSeparators_,,,,,"",JDFTypes.xsd
NameRangeList,global simpleType,jdftyp:NameAndSeparators_,,,,,"",JDFTypes.xsd
NameSpan,global complexType,,jdf:AbstractSpan,,,,"",JDFCore.xsd
NameState,global complexType,,jdf:DevCapState,,,,"",JDFCapability.xsd
NameState,global element,jdf:NameState,,,,jdf:AbstractStates,"",JDFCapability.xsd
NewJDFCmdParams,global element,jdf:NewJDFCmdParams_m,,,,jdf:CommandTypeObj,"",JDFMessage.xsd
NewJDFCmdParams_m,global complexType,,jdf:CommandTypeObj_,,,,"",JDFMessage.xsd
NewJDFQuParams,global element,jdf:NewJDFQuParams_m,,,,jdf:QueryTypeObj,"",JDFMessage.xsd
NewJDFQuParams_m,global complexType,,jdf:QueryTypeObj_,,,,"",JDFMessage.xsd
NMTOKEN,global simpleType,xs:NMTOKEN,,,,,"",JDFTypes.xsd
NMTOKENS,global simpleType,xs:NMTOKENS,,,,,"",JDFTypes.xsd
NodeInfo,global element,jdf:NodeInfo_,,,,,"",JDFCore.xsd
NodeInfo_,global complexType,,jdf:BaseElement_,,,,"",JDFCore.xsd
NodeInfo_BusinessInfo_l,global complexType,,jdf:BaseElement_,,,,"",JDFCore.xsd
NodeInfoCmdParams,global element,jdf:NodeInfoCmdParams_m,,,,jdf:CommandTypeObj,"",JDFMessage.xsd
NodeInfoCmdParams_m,global complexType,,jdf:CommandTypeObj_,,,,"",JDFMessage.xsd
NodeInfoQuParams,global element,jdf:NodeInfoQuParams_m,,,,jdf:QueryTypeObj,"",JDFMessage.xsd
NodeInfoQuParams_m,global complexType,,jdf:QueryTypeObj_,,,,"",JDFMessage.xsd
NodeInfoResp,global element,jdf:NodeInfoResp_m,,,,jdf:ResponseTypeObj,"",JDFMessage.xsd
NodeInfoResp_m,global complexType,,jdf:ResponseTypeObj_,,,,"",JDFMessage.xsd
not,global complexType,,jdf:AbstractTerm,,,,"",JDFCapability.xsd
not,global element,jdf:not,,,,jdf:AbstractTerms,"",JDFCapability.xsd
NotificationAudit,global complexType,,jdf:AuditElement,,,,"",JDFCore.xsd
NotificationDef,global element,jdf:NotificationDef_m,,,,jdf:ResponseTypeObj,"",JDFMessage.xsd
NotificationDef_m,global complexType,,jdf:ResponseTypeObj_,,,,"",JDFMessage.xsd
NotificationDetails,global complexType,,jdf:BaseElement_,,,,"",JDFCore.xsd
NotificationDetails,global element,jdf:NotificationDetails,,,true,,"",JDFCore.xsd
NotificationFilter,global element,jdf:NotificationFilter_m,,,,jdf:QueryTypeObj,"",JDFMessage.xsd
NotificationFilter_m,global complexType,,jdf:QueryTypeObj_,,,,"",JDFMessage.xsd
NumberEvaluation,global complexType,,jdf:AbstractEvaluation,,,,"",JDFCapability.xsd
NumberEvaluation,global element,jdf:NumberEvaluation,,,,jdf:AbstractTerms,"",JDFCapability.xsd
Numbering,global complexType,,jdf:JDFAbstractNode,,,,"",JDFProcess.xsd
NumberingIntent,global element,jdf:NumberingIntent_r,,,,jdf:Resource,"",JDFResource.xsd
NumberingIntent_NumberItem_lr,global complexType,,jdf:BaseElement_,,,,"",JDFResource.xsd
NumberingIntent_r,global complexType,,jdf:IntentResource,,,,"",JDFResource.xsd
NumberingIntent_rp,global complexType,,jdf:IntentResourceLeaf,,,,"",JDFResource.xsd
NumberingIntentAttribs_c,global attributeGroup,,,,,,"",JDFResource.xsd
NumberingIntentAttribs_r,global attributeGroup,,,,,,"",JDFResource.xsd
NumberingIntentAttribs_u,global attributeGroup,,,,,,"",JDFResource.xsd
NumberingIntentLink,global element,jdf:IntentLink,,,,jdf:ResourceLink,"",JDFResource.xsd
NumberingParams,global element,jdf:NumberingParams_r,,,,jdf:Resource,"",JDFResource.xsd
NumberingParams_NumberingParam_lr,global complexType,,jdf:BaseElement_,,,,"",JDFResource.xsd
NumberingParams_r,global complexType,,jdf:ParameterResource,,,,"",JDFResource.xsd
NumberingParams_re,global complexType,,jdf:ParameterResourceElement,,,,"",JDFResource.xsd
NumberingParams_rp,global complexType,,jdf:ParameterResourceLeaf,,,,"",JDFResource.xsd
NumberingParamsAttribs_c,global attributeGroup,,,,,,"",JDFResource.xsd
NumberingParamsAttribs_r,global attributeGroup,,,,,,"",JDFResource.xsd
NumberingParamsAttribs_u,global attributeGroup,,,,,,"",JDFResource.xsd
NumberingParamsLink,global element,jdf:ParameterLink,,,,jdf:ResourceLink,"",JDFResource.xsd
NumberingResLinkPool_,global complexType,,jdf:ResourceLinkPool_,,,,"",JDFProcess.xsd
NumberSpan,global complexType,,jdf:AbstractSpan,,,,"",JDFCore.xsd
NumberState,global complexType,,jdf:DevCapState,,,,"",JDFCapability.xsd
NumberState,global element,jdf:NumberState,,,,jdf:AbstractStates,"",JDFCapability.xsd
ObjectResolution,global element,jdf:ObjectResolution_r,,,,jdf:Resource,"",JDFResource.xsd
ObjectResolution_r,global complexType,,jdf:ParameterResource,,,,"",JDFResource.xsd
ObjectResolution_re,global complexType,,jdf:ParameterResourceElement,,,,"",JDFResource.xsd
ObjectResolution_rp,global complexType,,jdf:ParameterResourceLeaf,,,,"",JDFResource.xsd
ObjectResolutionAttribs_c,global attributeGroup,,,,,,"",JDFResource.xsd
ObjectResolutionAttribs_r,global attributeGroup,,,,,,"",JDFResource.xsd
ObjectResolutionAttribs_u,global attributeGroup,,,,,,"",JDFResource.xsd
ObjectResolutionLink,global element,jdf:ParameterLink,,,,jdf:ResourceLink,"",JDFResource.xsd
Occupation,global element,jdf:Occupation_m,,,,jdf:ResponseTypeObj,"",JDFMessage.xsd
Occupation_m,global complexType,,jdf:ResponseTypeObj_,,,,"",JDFMessage.xsd
OptionSpan,global complexType,,jdf:AbstractSpan,,,,"",JDFCore.xsd
or,global complexType,,jdf:AbstractTerm,,,,"",JDFCapability.xsd
or,global element,jdf:or,,,,jdf:AbstractTerms,"",JDFCapability.xsd
Ordering,global complexType,,jdf:JDFAbstractNode,,,,"",JDFProcess.xsd
