Schema item,Kind,Data type,Extends,Restricts,Abstract,Subst Group,Comment,Namespace
Device_rp,global complexType,,jdf:ImplementationResourceLeaf,,,,"",JDFResource.xsd
DeviceAttribs_c,global attributeGroup,,,,,,"",JDFResource.xsd
DeviceAttribs_r,global attributeGroup,,,,,,"",JDFResource.xsd
DeviceAttribs_u,global attributeGroup,,,,,,"",JDFResource.xsd
DeviceCap_DevCaps_DevCap_lr,global complexType,,jdf:BaseElement_,,,,"",JDFCapability.xsd
DeviceCap_DevCaps_lr,global complexType,,jdf:BaseElement_,,,,"",JDFCapability.xsd
DeviceCap_Performance_lr,global complexType,,jdf:BaseElement_,,,,"",JDFCapability.xsd
DeviceCap_re,global complexType,,jdf:ResourceElement,,,,"",JDFCapability.xsd
DeviceCapAttribs_c,global attributeGroup,,,,,,"",JDFCapability.xsd
DeviceCapAttribs_r,global attributeGroup,,,,,,"",JDFCapability.xsd
DeviceFilter,global element,jdf:DeviceFilter_m,,,,jdf:QueryTypeObj,"",JDFMessage.xsd
DeviceFilter_m,global complexType,,jdf:QueryTypeObj_,,,,"",JDFMessage.xsd
DeviceInfo,global element,jdf:DeviceInfo_m,,,,jdf:ResponseTypeObj,"",JDFMessage.xsd
DeviceInfo_m,global complexType,,jdf:ResponseTypeObj_,,,,"",JDFMessage.xsd
DeviceInfo_me,global complexType,,jdf:BaseElement_,,,,"",JDFMessage.xsd
DeviceInfo_ModuleStatus_,global complexType,,jdf:BaseElement_,,,,"",JDFMessage.xsd
DeviceInfoAttribs,global attributeGroup,,,,,,"",JDFMessage.xsd
DeviceLink,global element,jdf:ImplementationLink,,,,jdf:ResourceLink,"",JDFResource.xsd
DeviceList,global element,jdf:DeviceList_m,,,,jdf:ResponseTypeObj,"",JDFMessage.xsd
DeviceList_m,global complexType,,jdf:ResponseTypeObj_,,,,"",JDFMessage.xsd
DeviceMark,global element,jdf:DeviceMark_r,,,,jdf:Resource,"",JDFResource.xsd
DeviceMark_r,global complexType,,jdf:ParameterResource,,,,"",JDFResource.xsd
DeviceMark_re,global complexType,,jdf:ParameterResourceElement,,,,"",JDFResource.xsd
DeviceMark_rp,global complexType,,jdf:ParameterResourceLeaf,,,,"",JDFResource.xsd
DeviceMarkAttribs_c,global attributeGroup,,,,,,"",JDFResource.xsd
DeviceMarkAttribs_r,global attributeGroup,,,,,,"",JDFResource.xsd
DeviceMarkAttribs_u,global attributeGroup,,,,,,"",JDFResource.xsd
DeviceMarkLink,global element,jdf:ParameterLink,,,,jdf:ResourceLink,"",JDFResource.xsd
DeviceNSpace,global element,jdf:DeviceNSpace_r,,,,jdf:Resource,"",JDFResource.xsd
DeviceNSpace_r,global complexType,,jdf:ParameterResource,,,,"",JDFResource.xsd
DeviceNSpace_re,global complexType,,jdf:ParameterResourceElement,,,,"",JDFResource.xsd
DeviceNSpace_rp,global complexType,,jdf:ParameterResourceLeaf,,,,"",JDFResource.xsd
DeviceNSpaceAttribs_c,global attributeGroup,,,,,,"",JDFResource.xsd
DeviceNSpaceAttribs_r,global attributeGroup,,,,,,"",JDFResource.xsd
DeviceNSpaceAttribs_u,global attributeGroup,,,,,,"",JDFResource.xsd
DeviceNSpaceLink,global element,jdf:ParameterLink,,,,jdf:ResourceLink,"",JDFResource.xsd
DigitalDelivery,global complexType,,jdf:JDFAbstractNode,,,,"",JDFProcess.xsd
DigitalDeliveryParams,global element,jdf:DigitalDeliveryParams_r,,,,jdf:Resource,"",JDFResource.xsd
DigitalDeliveryParams_r,global complexType,,jdf:ParameterResource,,,,"",JDFResource.xsd
DigitalDeliveryParams_re,global complexType,,jdf:ParameterResourceElement,,,,"",JDFResource.xsd
DigitalDeliveryParams_rp,global complexType,,jdf:ParameterResourceLeaf,,,,"",JDFResource.xsd
DigitalDeliveryParamsAttribs_c,global attributeGroup,,,,,,"",JDFResource.xsd
DigitalDeliveryParamsAttribs_r,global attributeGroup,,,,,,"",JDFResource.xsd
DigitalDeliveryParamsAttribs_u,global attributeGroup,,,,,,"",JDFResource.xsd
DigitalDeliveryParamsLink,global element,jdf:ParameterLink,,,,jdf:ResourceLink,"",JDFResource.xsd
DigitalDeliveryResLinkPool_,global complexType,,jdf:ResourceLinkPool_,,,,"",JDFProcess.xsd
DigitalMedia,global element,jdf:DigitalMedia_r,,,,jdf:Resource,"",JDFResource.xsd
DigitalMedia_r,global complexType,,jdf:HandlingResource,,,,"",JDFResource.xsd
DigitalMedia_re,global complexType,,jdf:PhysicalResourceElement,,,,"",JDFResource.xsd
DigitalMedia_rp,global complexType,,jdf:HandlingResourceLeaf,,,,"",JDFResource.xsd
DigitalMediaAttribs_c,global attributeGroup,,,,,,"",JDFResource.xsd
DigitalMediaAttribs_r,global attributeGroup,,,,,,"",JDFResource.xsd
DigitalMediaAttribs_u,global attributeGroup,,,,,,"",JDFResource.xsd
DigitalMediaLink,global element,jdf:HandlingLink,,,,jdf:ResourceLink,"",JDFResource.xsd
DigitalPrinting,global complexType,,jdf:JDFAbstractNode,,,,"",JDFProcess.xsd
DigitalPrintingParams,global element,jdf:DigitalPrintingParams_r,,,,jdf:Resource,"",JDFResource.xsd
DigitalPrintingParams_r,global complexType,,jdf:ParameterResource,,,,"",JDFResource.xsd
DigitalPrintingParams_re,global complexType,,jdf:ParameterResourceElement,,,,"",JDFResource.xsd
DigitalPrintingParams_rp,global complexType,,jdf:ParameterResourceLeaf,,,,"",JDFResource.xsd
DigitalPrintingParamsAttribs_c,global attributeGroup,,,,,,"",JDFResource.xsd
